26596ZZZgetSimilarStems:com.olam.DatabaseHelper:$r5 = virtualinvoke $r3.<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>($r1, null)
26595ZZZgetSimilarStems:com.olam.DatabaseHelper:$r1 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.String toString()>()
26594ZZZgetSimilarStems:com.olam.DatabaseHelper:$r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\' ORDER BY LENGTH(word) LIMIT 10")
26593ZZZgetSimilarStems:com.olam.DatabaseHelper:$r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r1)
26592ZZZgetSimilarStems:com.olam.DatabaseHelper:$r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" %\' OR stems LIKE \'")
26590ZZZgetSimilarStems:com.olam.DatabaseHelper:$r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("SELECT word, _id FROM words_en WHERE stems LIKE \'%")
26589ZZZgetSimilarStems:com.olam.DatabaseHelper:specialinvoke $r4.<java.lang.StringBuilder: void <init>()>()
26588ZZZgetSimilarStems:com.olam.DatabaseHelper:$r4 = new java.lang.StringBuilder
26587ZZZgetSimilarStems:com.olam.DatabaseHelper:$r3 = $r0.<com.olam.DatabaseHelper: android.database.sqlite.SQLiteDatabase enmlDb>
26586ZZZgetSimilarStems:com.olam.DatabaseHelper:specialinvoke $r2.<java.util.LinkedHashMap: void <init>()>()
26585ZZZgetSimilarStems:com.olam.DatabaseHelper:$r2 = new java.util.LinkedHashMap
26584ZZZdoInBackground:com.olam.MainSearch$doSearch:$r9 = virtualinvoke $r8.<com.olam.DatabaseHelper: java.util.Map getSimilarStems(java.lang.String)>($r7)
26583ZZZdoInBackground:com.olam.MainSearch$doSearch:$r8 = $r3.<com.olam.MainSearch: com.olam.DatabaseHelper dbHelper>
26582ZZZdoInBackground:com.olam.MainSearch$doSearch:$r3 = $r0.<com.olam.MainSearch$doSearch: com.olam.MainSearch this$0>
26581ZZZdoInBackground:com.olam.MainSearch$doSearch:staticinvoke <android.util.Log: int v(java.lang.String,java.lang.String)>("Stemmer Tag", $r7)
26375ZZZstep4:com.olam.PorterStemmerAlgo:specialinvoke $r1.<com.olam.NewString: void <init>()>()
26374ZZZstep4:com.olam.PorterStemmerAlgo:$r1 = new com.olam.NewString
26373ZZZstep4:com.olam.PorterStemmerAlgo:$r2[20] = "ise"
26372ZZZstep4:com.olam.PorterStemmerAlgo:$r2[19] = "ize"
26371ZZZstep4:com.olam.PorterStemmerAlgo:$r2[18] = "ive"
26370ZZZstep4:com.olam.PorterStemmerAlgo:$r2[17] = "ous"
26369ZZZstep4:com.olam.PorterStemmerAlgo:$r2[16] = "iti"
26368ZZZstep4:com.olam.PorterStemmerAlgo:$r2[15] = "ate"
26367ZZZstep4:com.olam.PorterStemmerAlgo:$r2[14] = "ism"
26366ZZZstep4:com.olam.PorterStemmerAlgo:$r2[13] = "ou"
26365ZZZstep4:com.olam.PorterStemmerAlgo:$r2[12] = "tion"
26364ZZZstep4:com.olam.PorterStemmerAlgo:$r2[11] = "sion"
26363ZZZstep4:com.olam.PorterStemmerAlgo:$r2[10] = "ent"
26362ZZZstep4:com.olam.PorterStemmerAlgo:$r2[9] = "ment"
26361ZZZstep4:com.olam.PorterStemmerAlgo:$r2[8] = "ement"
26360ZZZstep4:com.olam.PorterStemmerAlgo:$r2[7] = "ant"
26359ZZZstep4:com.olam.PorterStemmerAlgo:$r2[6] = "ible"
26358ZZZstep4:com.olam.PorterStemmerAlgo:$r2[5] = "able"
26357ZZZstep4:com.olam.PorterStemmerAlgo:$r2[4] = "ic"
26356ZZZstep4:com.olam.PorterStemmerAlgo:$r2[3] = "er"
26355ZZZstep4:com.olam.PorterStemmerAlgo:$r2[2] = "ence"
26354ZZZstep4:com.olam.PorterStemmerAlgo:$r2[1] = "ance"
26353ZZZstep4:com.olam.PorterStemmerAlgo:$r2[0] = "al"
26352ZZZstep4:com.olam.PorterStemmerAlgo:$r2 = newarray (java.lang.String)[21]
26265ZZZstep3:com.olam.PorterStemmerAlgo:specialinvoke $r1.<com.olam.NewString: void <init>()>()
26264ZZZstep3:com.olam.PorterStemmerAlgo:$r1 = new com.olam.NewString
26263ZZZstep3:com.olam.PorterStemmerAlgo:$r2[7] = $r4
26262ZZZstep3:com.olam.PorterStemmerAlgo:$r4[1] = ""
26261ZZZstep3:com.olam.PorterStemmerAlgo:$r4[0] = "ness"
26260ZZZstep3:com.olam.PorterStemmerAlgo:$r4 = newarray (java.lang.String)[2]
26259ZZZstep3:com.olam.PorterStemmerAlgo:$r2[6] = $r4
26257ZZZstep3:com.olam.PorterStemmerAlgo:$r4[0] = "ful"
26255ZZZstep3:com.olam.PorterStemmerAlgo:$r2[5] = $r4
